track_id,user,name,artists,duration,is_explicit,popularity,has_track_features,dancability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,valence,liveness
2aJDlirz6v2a4HREki98cP,1pat8ir5aqzhzvs7ygs1jp8ga,Glue,['Bicep'],269.149,False,74,True,0.853,0.798,-7.995,129.983,0.068,0.0158,0.948,0.42,0.0967
5Z8Dj3LtbyCMiwE86rhg2f,1pat8ir5aqzhzvs7ygs1jp8ga,Marea (we’ve lost dancing),"['Fred again..', 'The Blessed Madonna']",285.375,False,69,True,0.761,0.781,-6.778,123.023,0.141,0.0681,0.108,0.473,0.0607
0wPfUQUkWcguy2iUH0BWOT,1pat8ir5aqzhzvs7ygs1jp8ga,Baby,['Four Tet'],264.464,False,51,True,0.792,0.576,-9.947,127.066,0.248,0.487,0.00325,0.053,0.0972
6pAfAhSBOeNi5Tw8AfB5RQ,1pat8ir5aqzhzvs7ygs1jp8ga,Delicious Things,['Wolf Alice'],304.279,False,58,True,0.467,0.5,-5.608,121.209,0.0358,0.147,0.0247,0.279,0.284
2ownDSIYHvydbtauGZW4ln,1pat8ir5aqzhzvs7ygs1jp8ga,You Will Never Work In Television Again,['The Smile'],168.172,True,59,True,0.338,0.828,-6.377,176.842,0.1,0.00198,0.023,0.198,0.0996
3Nlq1iM31vOPARfaS43CUc,1pat8ir5aqzhzvs7ygs1jp8ga,In For The Kill - Skream's Let's Get Ravey Remix,"['La Roux', 'Skream']",304.36,False,47,True,0.385,0.595,-5.447,145.587,0.0462,0.0033,0.355,0.083,0.0611
0Ln5tJyLX5qusquBOtq7wf,1pat8ir5aqzhzvs7ygs1jp8ga,Fire,['Kasabian'],252.279,False,67,True,0.525,0.742,-5.643,117.029,0.0311,0.0874,0.149,0.179,0.117
1FTSo4v6BOZH9QxKc3MbVM,1pat8ir5aqzhzvs7ygs1jp8ga,Song 2 - 2012 Remaster,['Blur'],121.16,False,77,True,0.674,0.789,-6.903,129.802,0.0676,0.00178,0.00708,0.918,0.0753
4J9udfL2d2OCdHieH0s9Ec,1pat8ir5aqzhzvs7ygs1jp8ga,Circle Of Smiles - Main Theme from 'BAANTJER',['Toots Thielemans'],181.596,False,28,True,0.453,0.192,-16.282,76.191,0.0265,0.646,0.0836,0.201,0.117
0qRR9d89hIS0MHRkQ0ejxX,1pat8ir5aqzhzvs7ygs1jp8ga,Rich Girl,['Daryl Hall & John Oates'],142.786,False,74,True,0.573,0.683,-6.644,169.519,0.176,0.461,0.0,0.817,0.0935
